op,size,cpu_time_2withoutBubbleUp,stat,cpu_time_3withBubbleUp,cpu_time_4withBubbleUp
PushSortedAsc,4096.0,13983.0,p99,76678.0,13025.2
PushSortedAsc,8192.0,26141.4,mean,76047.9,24176.9
PushSortedAsc,8192.0,26254.7,median,76302.6,24084.3
PushSortedAsc,8192.0,759.259,stddev,76314.3,365.318
PushSortedAsc,8192.0,0.0290443,cv,75953.9,0.0151102
PushSortedAsc,8192.0,26827.8,p90,76019.6,24512.8
PushSortedAsc,8192.0,27166.6,p95,76974.3,24795.0
PushSortedAsc,8192.0,27437.7,p99,76322.7,25020.8
PushSortedAsc,16384.0,50241.2,mean,1817.52,47839.0
PushSortedAsc,16384.0,50436.9,median,0.023612,47721.7
PushSortedAsc,16384.0,988.109,stddev,77902.0,605.477
PushSortedAsc,16384.0,0.0196673,cv,79948.4,0.0126566
PushSortedAsc,16384.0,51156.2,p90,81585.4,48616.4
PushSortedAsc,16384.0,51495.4,p95,203664.0,48774.4
PushSortedAsc,16384.0,51766.8,p99,206634.0,48900.9
PushSortedAsc,32768.0,94792.8,mean,217547.0,101060.0
PushSortedAsc,32768.0,94799.7,median,205795.0,100854.0
PushSortedAsc,32768.0,981.431,stddev,202593.0,1710.57
PushSortedAsc,32768.0,0.0103534,cv,203376.0,0.0169263
PushSortedAsc,32768.0,95865.6,p90,203324.0,102956.0
PushSortedAsc,32768.0,96024.9,p95,202908.0,103393.0
PushSortedAsc,32768.0,96152.2,p99,202771.0,103742.0
PushSortedAsc,65536.0,186695.0,mean,204458.0,202308.0
PushSortedAsc,65536.0,186518.0,median,205307.0,201895.0
PushSortedAsc,65536.0,1075.86,stddev,203520.0,2435.15
PushSortedAsc,65536.0,0.00576267,cv,4502.52,0.0120368
PushSortedAsc,65536.0,187755.0,p90,0.0219307,204599.0
PushSortedAsc,65536.0,188303.0,p95,207725.0,206262.0
PushSortedAsc,65536.0,188742.0,p99,212636.0,207592.0
PushSortedAsc,131072.0,371392.0,mean,216565.0,411023.0
PushSortedAsc,131072.0,371305.0,median,555316.0,410305.0
PushSortedAsc,131072.0,1758.61,stddev,557584.0,7846.37
PushSortedAsc,131072.0,0.00473518,cv,587706.0,0.0190899
PushSortedAsc,131072.0,373217.0,p90,565036.0,419971.0
PushSortedAsc,131072.0,373475.0,p95,555050.0,421056.0
PushSortedAsc,131072.0,373682.0,p99,554479.0,421923.0
PushSortedAsc,262144.0,749235.0,mean,554790.0,821769.0
PushSortedAsc,262144.0,743784.0,median,553498.0,807466.0
PushSortedAsc,262144.0,16372.3,stddev,556718.0,38481.0
PushSortedAsc,262144.0,0.021852,cv,559076.0,0.0468271
PushSortedAsc,262144.0,767174.0,p90,559925.0,875141.0
PushSortedAsc,262144.0,774705.0,p95,556017.0,890291.0
PushSortedAsc,262144.0,780729.0,p99,10310.5,902410.0
PushSortedAsc,524288.0,1607330.0,mean,0.0184141,1561870.0
PushSortedAsc,524288.0,1606480.0,median,567303.0,1556870.0
PushSortedAsc,524288.0,17277.4,stddev,577505.0,27727.2
PushSortedAsc,524288.0,0.0107492,cv,585666.0,0.0177525
PushSortedAsc,524288.0,1631100.0,p90,1581140.0,1599850.0
PushSortedAsc,524288.0,1635950.0,p95,1600120.0,1610250.0
PushSortedAsc,524288.0,1639830.0,p99,1695110.0,1618560.0
PushSortedAsc,1048576.0,3196320.0,mean,1599130.0,3064690.0
PushSortedAsc,1048576.0,3156420.0,median,1586130.0,3046100.0
PushSortedAsc,1048576.0,94361.9,stddev,1584030.0,48480.1
PushSortedAsc,1048576.0,0.029522,cv,1569280.0,0.0158189
PushSortedAsc,1048576.0,3323980.0,p90,1575850.0,3134040.0
PushSortedAsc,1048576.0,3356680.0,p95,1573190.0,3146490.0
PushSortedAsc,1048576.0,3382840.0,p99,1587800.0,3156450.0
PushSortedDesc,256.0,5923.52,mean,1595180.0,5636.22
PushSortedDesc,256.0,5924.48,median,1585080.0,5591.15
PushSortedDesc,256.0,45.0133,stddev,36532.4,138.481
PushSortedDesc,256.0,0.00759907,cv,0.0229018,0.0245699
PushSortedDesc,256.0,5976.12,p90,1609620.0,5788.66
PushSortedDesc,256.0,5987.56,p95,1652360.0,5882.39
PushSortedDesc,256.0,5996.72,p99,1686560.0,5957.39
PushSortedDesc,512.0,18143.7,mean,4592810.0,15514.7
PushSortedDesc,512.0,17952.9,median,4809910.0,15359.8
PushSortedDesc,512.0,1367.49,stddev,4877820.0,393.588
PushSortedDesc,512.0,0.0753699,cv,4550080.0,0.0253688
PushSortedDesc,512.0,19591.5,p90,4513460.0,15712.1
PushSortedDesc,512.0,19634.0,p95,4526850.0,16139.9
PushSortedDesc,512.0,19668.0,p99,4528890.0,16482.2
PushSortedDesc,1024.0,52151.3,mean,4534570.0,56516.6
PushSortedDesc,1024.0,50613.4,median,4541680.0,56919.9
PushSortedDesc,1024.0,3122.49,stddev,4538470.0,2417.62
PushSortedDesc,1024.0,0.0598737,cv,4601450.0,0.0427771
PushSortedDesc,1024.0,56768.3,p90,4540070.0,58119.6
PushSortedDesc,1024.0,56838.6,p95,130441.0,59193.4
PushSortedDesc,1024.0,56894.9,p99,0.0283477,60052.4
PushSortedDesc,2048.0,157602.0,mean,4816700.0,152502.0
PushSortedDesc,2048.0,157881.0,median,4847260.0,151646.0
PushSortedDesc,2048.0,1048.87,stddev,4871710.0,10272.1
PushSortedDesc,2048.0,0.00665519,cv,13145000.0,0.0673571
PushSortedDesc,2048.0,158531.0,p90,13291500.0,163623.0
PushSortedDesc,2048.0,158804.0,p95,14563300.0,167717.0
PushSortedDesc,2048.0,159022.0,p99,13356500.0,170991.0
PushSortedDesc,4096.0,431539.0,mean,13102300.0,412880.0
PushSortedDesc,4096.0,430620.0,median,13589600.0,409726.0
PushSortedDesc,4096.0,3247.93,stddev,13402300.0,12454.1
PushSortedDesc,4096.0,0.00752639,cv,13050300.0,0.0301641
PushSortedDesc,4096.0,436005.0,p90,13416000.0,426839.0
PushSortedDesc,4096.0,436409.0,p95,13128000.0,433809.0
PushSortedDesc,4096.0,436733.0,p99,13404500.0,439385.0
PushSortedDesc,8192.0,1195050.0,mean,13324000.0,1126160.0
PushSortedDesc,8192.0,1181400.0,median,441292.0,1116170.0
PushSortedDesc,8192.0,39797.5,stddev,0.0329212,32512.8
PushSortedDesc,8192.0,0.0333019,cv,13686900.0,0.0288704
PushSortedDesc,8192.0,1256480.0,p90,14125100.0,1137440.0
PushSortedDesc,8192.0,1258360.0,p95,14475600.0,1177370.0
PushSortedDesc,8192.0,1259870.0,p99,40800000.0,1209310.0
PushSortedDesc,16384.0,3505920.0,mean,43016800.0,3162060.0
PushSortedDesc,16384.0,3462320.0,median,44765800.0,3128880.0
PushSortedDesc,16384.0,145574.0,stddev,39887800.0,76431.7
PushSortedDesc,16384.0,0.0415224,cv,40282000.0,0.0241715
PushSortedDesc,16384.0,3629290.0,p90,40660100.0,3236520.0
PushSortedDesc,16384.0,3740080.0,p95,40450900.0,3299010.0
PushSortedDesc,16384.0,3828700.0,p99,40812100.0,3348990.0
PushSortedDesc,32768.0,9767290.0,mean,40517600.0,8937080.0
PushSortedDesc,32768.0,9517170.0,median,39852100.0,8874500.0
PushSortedDesc,32768.0,796786.0,stddev,41104500.0,214281.0
PushSortedDesc,32768.0,0.0815769,cv,40588900.0,0.0239767
PushSortedDesc,32768.0,10791800.0,p90,1561150.0,9027810.0
PushSortedDesc,32768.0,11039900.0,p95,0.03798,9280010.0
PushSortedDesc,32768.0,11238400.0,p99,43191700.0,9481770.0
