op,size,cpu_time2withoutBubbleUp,stat,cpu_time_3withBubbleUp
PushSortedAsc,262144.0,14340600.0,p90,13718500.0
PushSortedAsc,262144.0,14344200.0,p95,13817400.0
PushSortedAsc,262144.0,14347100.0,p99,13896500.0
PushSortedAsc,524288.0,32195600.0,mean,29912400.0
PushSortedAsc,524288.0,32209100.0,median,29710800.0
PushSortedAsc,524288.0,119811.0,stddev,591240.0
PushSortedAsc,524288.0,0.00372134,cv,0.0197657
PushSortedAsc,524288.0,32328300.0,p90,30431600.0
PushSortedAsc,524288.0,32334200.0,p95,30918100.0
PushSortedAsc,524288.0,32339000.0,p99,31307300.0
PushSortedAsc,1048576.0,76587300.0,mean,68479500.0
PushSortedAsc,1048576.0,77776800.0,median,68005000.0
PushSortedAsc,1048576.0,2944080.0,stddev,1427380.0
PushSortedAsc,1048576.0,0.0384408,cv,0.020844
PushSortedAsc,1048576.0,79598900.0,p90,70609000.0
PushSortedAsc,1048576.0,79624900.0,p95,71130100.0
PushSortedAsc,1048576.0,79645800.0,p99,71547000.0
PushSortedDesc,256.0,14156.5,mean,12459.1
PushSortedDesc,256.0,14054.5,median,12440.8
PushSortedDesc,256.0,292.86,stddev,108.605
PushSortedDesc,256.0,0.0206873,cv,0.00871692
PushSortedDesc,256.0,14560.0,p90,12636.7
PushSortedDesc,256.0,14643.5,p95,12647.3
PushSortedDesc,256.0,14710.3,p99,12655.8
PushSortedDesc,512.0,42653.4,mean,34700.7
PushSortedDesc,512.0,42499.3,median,34701.8
PushSortedDesc,512.0,1368.35,stddev,1203.67
PushSortedDesc,512.0,0.0320806,cv,0.0346871
PushSortedDesc,512.0,44512.2,p90,35967.2
PushSortedDesc,512.0,44796.2,p95,36483.4
PushSortedDesc,512.0,45023.4,p99,36896.4
PushSortedDesc,1024.0,101988.0,mean,98550.4
PushSortedDesc,1024.0,103799.0,median,98438.0
PushSortedDesc,1024.0,9470.04,stddev,1049.33
PushSortedDesc,1024.0,0.0928544,cv,0.0106476
PushSortedDesc,1024.0,112300.0,p90,99441.3
PushSortedDesc,1024.0,112383.0,p95,100194.0
PushSortedDesc,1024.0,112449.0,p99,100796.0
PushSortedDesc,2048.0,315390.0,mean,269351.0
PushSortedDesc,2048.0,315039.0,median,268332.0
