op,size,cpu_time2withoutBubbleUp,stat,cpu_time_3withBubbleUp,cpu_time_4withBubbleUp
PushSortedDesc,256.0,14605.6,mean,2581400.0,14639.6
PushSortedDesc,256.0,14603.1,median,2583830.0,14653.5
PushSortedDesc,256.0,101.632,stddev,22338.4,114.569
PushSortedDesc,256.0,0.00695842,cv,0.00865363,0.00782596
PushSortedDesc,256.0,14731.4,p90,2607990.0,14779.2
PushSortedDesc,256.0,14733.4,p95,2609290.0,14782.0
PushSortedDesc,256.0,14735.0,p99,2610320.0,14784.3
PushSortedDesc,512.0,36309.1,mean,5677190.0,35639.3
PushSortedDesc,512.0,35579.1,median,5844970.0,35665.5
PushSortedDesc,512.0,2118.05,stddev,5702470.0,183.232
PushSortedDesc,512.0,0.0583339,cv,5655040.0,0.00514128
PushSortedDesc,512.0,37301.3,p90,5692720.0,35816.5
PushSortedDesc,512.0,39732.7,p95,5714920.0,35897.4
PushSortedDesc,512.0,41677.9,p99,5748900.0,35962.2
PushSortedDesc,1024.0,98585.3,mean,5844820.0,93945.0
PushSortedDesc,1024.0,93615.9,median,5718540.0,94071.3
PushSortedDesc,1024.0,11298.6,stddev,5764800.0,656.41
PushSortedDesc,1024.0,0.114607,cv,5736440.0,0.00698717
PushSortedDesc,1024.0,110733.0,p90,5716730.0,94614.9
PushSortedDesc,1024.0,119147.0,p95,65380.0,94657.2
PushSortedDesc,1024.0,125877.0,p99,0.0113973,94691.1
PushSortedDesc,2048.0,310356.0,mean,5844840.0,336465.0
PushSortedDesc,2048.0,312117.0,median,5844900.0,338010.0
PushSortedDesc,2048.0,6575.58,stddev,5844950.0,17425.9
PushSortedDesc,2048.0,0.0211872,cv,12554200.0,0.0517912
PushSortedDesc,2048.0,316685.0,p90,12487700.0,358274.0
PushSortedDesc,2048.0,316813.0,p95,12653300.0,358326.0
PushSortedDesc,2048.0,316916.0,p99,12667400.0,358367.0
PushSortedDesc,4096.0,822457.0,mean,12426000.0,891338.0
PushSortedDesc,4096.0,806041.0,median,12383200.0,889375.0
PushSortedDesc,4096.0,31557.1,stddev,12232000.0,9376.99
PushSortedDesc,4096.0,0.0383692,cv,12584100.0,0.0105201
PushSortedDesc,4096.0,862024.0,p90,12235500.0,900460.0
PushSortedDesc,4096.0,864845.0,p95,12221900.0,906487.0
PushSortedDesc,4096.0,867102.0,p99,12444500.0,911309.0
PushSortedDesc,8192.0,2125280.0,mean,12456800.0,2250430.0
PushSortedDesc,8192.0,2118320.0,median,172930.0,2239000.0
PushSortedDesc,8192.0,26901.0,stddev,0.0138961,59336.0
